task_id	description	slice_id	fixture_disposition	test_cases	test_locations	rationale	remaining_gap
MP-L02	`Player` 普通析构：owner 逆序、容器析构、外部 listener/cache 解绑	MP-C18-PLAYER-NATIVE-CTOR-DTOR-OWNER-LEDGER	REUSED_EXISTING_FIXTURE	Player resourceManager keeps three owners and a read-only canonical alias; MotionNode value construction preserves native zero defaults	tests/unit-tests/plugins/motionplayer-dll.cpp:15456; tests/unit-tests/plugins/motionplayer-dll.cpp:19786	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-L02	`Player` 普通析构：owner 逆序、容器析构、外部 listener/cache 解绑	MP-L11-MOTIONNODE-PREPARED-ITEM-LIFETIME	REUSED_EXISTING_FIXTURE	node suffix erase retires source and render-item owners before borrowed facades; prepared render builder retains reverse priority dispatch and trusts indexes	tests/unit-tests/plugins/motionplayer-dll.cpp:14232; tests/unit-tests/plugins/motionplayer-dll.cpp:14412	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-L03	`Player` 构造失败：每个 publication frontier 的异常回滚	MP-C18-PLAYER-NATIVE-CTOR-DTOR-OWNER-LEDGER	NO_EXISTING_FAILURE_INJECTION_FIXTURE			Per-publication Player constructor rollback needs deterministic allocator/Dictionary/root-deque failure injection that the current fixture does not provide	Record the verification gap; do not construct new fixture material
MP-L03	`Player` 构造失败：每个 publication frontier 的异常回滚	MP-L11-PLAYER-CTOR	NO_EXISTING_FAILURE_INJECTION_FIXTURE			NCB attachment and constructor-prefix rollback need deterministic failure injection absent from the existing fixture	Record the verification gap; do not construct new fixture material
MP-L04	`Player` vtable、虚函数表面、deleting destructor 和可能的多继承 thunk	MP-L04-PLAYER-NONPOLYMORPHIC-PAYLOAD-ADAPTOR-VTABLE	STATIC_ONLY_NO_RUNTIME_OBSERVATION			The source-level non-polymorphic payload and deleting-thunk disposition are compile/link products, not a safe runtime fixture surface	Retain the four-target vtable/type ledger; no fixture material should be fabricated
MP-L05	`EmoteObject → EmoteEngine → Player` 完整 owner 链	MP-L05-EMOTEOBJECT-ENGINE-PLAYER-OWNER-CHAIN	REUSED_EXISTING_FIXTURE	Motion.EmotePlayer typed Factory requires arg0 and preserves the Void sentinel; Player resourceManager keeps three owners and a read-only canonical alias	tests/unit-tests/plugins/motionplayer-dll.cpp:15346; tests/unit-tests/plugins/motionplayer-dll.cpp:15456	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-L06	`Motion.EmotePlayer` facade 与 `D3DEmotePlayer` shell 的不同 owner 拓扑	MP-L06-EMOTEPLAYER-FACADE-VS-D3D-SHELL-TOPOLOGY	REUSED_EXISTING_FIXTURE	Motion.EmotePlayer typed Factory requires arg0 and preserves the Void sentinel; D3DEmotePlayer typed factory and clone preserve D3DLayer boundary	tests/unit-tests/plugins/motionplayer-dll.cpp:15346; tests/unit-tests/plugins/motionplayer-dll.cpp:27592	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-L07	`EmoteEngine` 七个 direct-controller owner 的构造、替换和析构	MP-L07-EMOTEENGINE-SEVEN-DIRECT-CONTROLLER-OWNERS	REUSED_EXISTING_FIXTURE	direct Emote controllers preserve native queue boundaries; Motion EmotePlayer setters enqueue Engine controllers	tests/unit-tests/plugins/motionplayer-dll.cpp:27843; tests/unit-tests/plugins/motionplayer-dll.cpp:29201	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-L09	`MotionNode` 的构造、浅/深复制、赋值、erase 和 type-3 child owner	MP-C10-MOTIONNODE-ORDER	REUSED_EXISTING_FIXTURE	MotionNode value construction preserves native zero defaults; motion node keeps native shallow copy assignment for deque erase	tests/unit-tests/plugins/motionplayer-dll.cpp:19786; tests/unit-tests/plugins/motionplayer-dll.cpp:26835	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-L09	`MotionNode` 的构造、浅/深复制、赋值、erase 和 type-3 child owner	MP-L11-MOTIONNODE-PREPARED-ITEM-LIFETIME	REUSED_EXISTING_FIXTURE	node suffix erase retires source and render-item owners before borrowed facades; prepared render builder retains reverse priority dispatch and trusts indexes	tests/unit-tests/plugins/motionplayer-dll.cpp:14232; tests/unit-tests/plugins/motionplayer-dll.cpp:14412	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-L10	`NodeTree` 新树构造、旧树退休、替换、遍历和失败回滚	MP-L11-MOTIONNODE-PREPARED-ITEM-LIFETIME	REUSED_EXISTING_FIXTURE	node suffix erase retires source and render-item owners before borrowed facades; prepared render builder retains reverse priority dispatch and trusts indexes	tests/unit-tests/plugins/motionplayer-dll.cpp:14232; tests/unit-tests/plugins/motionplayer-dll.cpp:14412	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-L11	`ResourceManager`、`SourceCache`、`ObjSource` 的 owner/cache/raw holder 关系	MP-A13-RESOURCEMANAGER-NCB-SURFACE	REUSED_EXISTING_FIXTURE	Motion.ResourceManager NCB constructor preserves sentinel and arity boundaries; motionplayer resource chain and query surface	tests/unit-tests/plugins/motionplayer-dll.cpp:15755; tests/unit-tests/plugins/motionplayer-dll.cpp:25778	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-L15	global RNG、static method cache、texture cache、registrar/static guard 的生命周期	MP-L15-GLOBAL-STATIC-CACHE-RNG-GUARD-LIFECYCLE	REUSED_EXISTING_FIXTURE	blink RNG preserves the four-reference MT twist and canonical bits; Plugins link is a direct module-key load and unlink remains a true no-op; autoload passes its complete Path and discovered Name as the module key	tests/unit-tests/plugins/motionplayer-dll.cpp:11771; tests/unit-tests/plugins/motionplayer-dll.cpp:8570; tests/unit-tests/plugins/motionplayer-dll.cpp:8684	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-L16	AddRef/Release、TJS native instance、borrowed pointer 与 deleting destructor 总审计	MP-L16-ADDREF-RELEASE-NATIVE-INSTANCE-BORROWED-DELETING-DTOR	REUSED_EXISTING_FIXTURE	setEmotePSBDecryptFunc owns and invokes the four-reference closure shape; accurate SLA phase owner drops temporary closure before raw Object owner; D3DLayer constructor re-entry keeps the oldest borrowed four-slot view	tests/unit-tests/plugins/motionplayer-dll.cpp:6575; tests/unit-tests/plugins/motionplayer-dll.cpp:10538; tests/unit-tests/plugins/motionplayer-dll.cpp:9944	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-C01	`Player` node 容器、node-index 辅助结构和遍历顺序	MP-C10-PLAYER-NODE-DEQUE	REUSED_EXISTING_FIXTURE	MotionNode value construction preserves native zero defaults; node suffix erase retires source and render-item owners before borrowed facades	tests/unit-tests/plugins/motionplayer-dll.cpp:19786; tests/unit-tests/plugins/motionplayer-dll.cpp:14232	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-C01	`Player` node 容器、node-index 辅助结构和遍历顺序	MP-C10-MOTIONNODE-ORDER	REUSED_EXISTING_FIXTURE	MotionNode value construction preserves native zero defaults; motion node keeps native shallow copy assignment for deque erase	tests/unit-tests/plugins/motionplayer-dll.cpp:19786; tests/unit-tests/plugins/motionplayer-dll.cpp:26835	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-C06	angle/var/loop controller 的 deque/vector 元素类型	MP-L07-EMOTEENGINE-SEVEN-DIRECT-CONTROLLER-OWNERS	REUSED_EXISTING_FIXTURE	direct Emote controllers preserve native queue boundaries; Motion EmotePlayer setters enqueue Engine controllers	tests/unit-tests/plugins/motionplayer-dll.cpp:27843; tests/unit-tests/plugins/motionplayer-dll.cpp:29201	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-C09	prepared render item、render command、target 和 triangle batch 容器	MP-G11-PLAYER-APPEND-PREPARED-ITEMS	REUSED_EXISTING_FIXTURE	prepared render builder retains reverse priority dispatch and trusts indexes; prepared render builder retains one particle Array across recursion	tests/unit-tests/plugins/motionplayer-dll.cpp:14412; tests/unit-tests/plugins/motionplayer-dll.cpp:14636	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-C10	`ResourceManager` motion/source/layer-id 容器	MP-C13-RESOURCE-LAYER-ID-SET	REUSED_EXISTING_FIXTURE	ResourceManager layer ids preserve unsigned suffix-release boundaries; Player layer-id dispatch retains ResourceManager across callbacks	tests/unit-tests/plugins/motionplayer-dll.cpp:25956; tests/unit-tests/plugins/motionplayer-dll.cpp:15552	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-C10	`ResourceManager` motion/source/layer-id 容器	MP-C13-RESOURCE-UNLOAD-SINGLE-NODE	REUSED_EXISTING_FIXTURE	motionplayer resource chain and query surface; ResourceManager caches raw holders and returns fresh dispatches	tests/unit-tests/plugins/motionplayer-dll.cpp:25778; tests/unit-tests/plugins/motionplayer-dll.cpp:27422	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-C10	`ResourceManager` motion/source/layer-id 容器	MP-C13-RESOURCE-UNLOADALL-MAP-CLEAR	REUSED_EXISTING_FIXTURE	motionplayer resource chain and query surface; ResourceManager caches raw holders and returns fresh dispatches	tests/unit-tests/plugins/motionplayer-dll.cpp:25778; tests/unit-tests/plugins/motionplayer-dll.cpp:27422	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-C13	TJS Array/Dictionary 创建、items 获取、push/erase 和 owner handoff	MP-C10-TJS-ARRAY-ITEMS	REUSED_EXISTING_FIXTURE	getCommandList preserves fresh empty arrays and zero-argument NCB boundaries; Player variableKeys returns a fresh var-track array	tests/unit-tests/plugins/motionplayer-dll.cpp:14929; tests/unit-tests/plugins/motionplayer-dll.cpp:12698	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-C13	TJS Array/Dictionary 创建、items 获取、push/erase 和 owner handoff	MP-A10-LAYERGETTER-ARRAYS	REUSED_EXISTING_FIXTURE	LayerGetter is a live non-owning MotionNode facade	tests/unit-tests/plugins/motionplayer-dll.cpp:14108	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-C13	TJS Array/Dictionary 创建、items 获取、push/erase 和 owner handoff	MP-L10-LAYERGETTER-ARRAY-EH	REUSED_EXISTING_FIXTURE	LayerGetter is a live non-owning MotionNode facade	tests/unit-tests/plugins/motionplayer-dll.cpp:14108	The existing LayerGetter fixture covers Array owner production; allocator-failure execution is not available	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-C15	所有容器的 empty、duplicate、erase、迭代器失效、分配异常和部分提交审计	MP-C15-ALL-CONTAINER-BOUNDARY-AUDIT	REUSED_EXISTING_FIXTURE	prepared render wrapper preserves caller vectors and sorts trusted pointers; selector deque raw entry leaves its gate byte untouched; SourceCache loadSource uses composite identity and native pre-insert trimming	tests/unit-tests/plugins/motionplayer-dll.cpp:5948; tests/unit-tests/plugins/motionplayer-dll.cpp:12471; tests/unit-tests/plugins/motionplayer-dll.cpp:16289	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-C16	Android libstdc++ 与 iOS libc++ 展开的差异归因，反推共同源码容器选型	MP-C16-STL-CONTAINER-SOURCE-ATTRIBUTION	STATIC_ONLY_NO_RUNTIME_OBSERVATION			The ticket compares foreign libstdc++ and libc++ lowering; one local test process cannot instantiate those four shipped ABIs	Static four-target disassembly is the available verification material
MP-D01	storage 输入、placed path、project/motion key 和规范化规则	MP-C13-RESOURCE-UNLOAD-SINGLE-NODE	REUSED_EXISTING_FIXTURE	motionplayer resource chain and query surface; ResourceManager caches raw holders and returns fresh dispatches	tests/unit-tests/plugins/motionplayer-dll.cpp:25778; tests/unit-tests/plugins/motionplayer-dll.cpp:27422	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-D02	`ResourceManager::load/unload/unloadAll` 的完整状态转换	MP-C13-RESOURCE-UNLOAD-SINGLE-NODE	REUSED_EXISTING_FIXTURE	motionplayer resource chain and query surface; ResourceManager caches raw holders and returns fresh dispatches	tests/unit-tests/plugins/motionplayer-dll.cpp:25778; tests/unit-tests/plugins/motionplayer-dll.cpp:27422	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-D02	`ResourceManager::load/unload/unloadAll` 的完整状态转换	MP-C13-RESOURCE-UNLOADALL-MAP-CLEAR	REUSED_EXISTING_FIXTURE	motionplayer resource chain and query surface; ResourceManager caches raw holders and returns fresh dispatches	tests/unit-tests/plugins/motionplayer-dll.cpp:25778; tests/unit-tests/plugins/motionplayer-dll.cpp:27422	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-D04	`findSource` 的直接路径、fallback accessor、context 和部分提交	MP-C19-PLAYER-FIND-SOURCE-FOR-NODE	REUSED_EXISTING_FIXTURE	Player findSource dispatch preserves context Variant and receiver; node source fallback gates on exact TJS status and Void result; node source fallback retains one owner across reentrant getters	tests/unit-tests/plugins/motionplayer-dll.cpp:26949; tests/unit-tests/plugins/motionplayer-dll.cpp:26982; tests/unit-tests/plugins/motionplayer-dll.cpp:27026	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-D07	source descriptor、path snapshot、source-state 的构造/复制/析构	MP-C19-PLAYER-FIND-SOURCE-FOR-NODE	REUSED_EXISTING_FIXTURE	Player findSource dispatch preserves context Variant and receiver; node source fallback gates on exact TJS status and Void result; node source fallback retains one owner across reentrant getters	tests/unit-tests/plugins/motionplayer-dll.cpp:26949; tests/unit-tests/plugins/motionplayer-dll.cpp:26982; tests/unit-tests/plugins/motionplayer-dll.cpp:27026	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-D07	source descriptor、path snapshot、source-state 的构造/复制/析构	MP-G11-PLAYER-APPEND-PREPARED-ITEMS	REUSED_EXISTING_FIXTURE	prepared render builder retains reverse priority dispatch and trusts indexes; prepared render builder retains one particle Array across recursion	tests/unit-tests/plugins/motionplayer-dll.cpp:14412; tests/unit-tests/plugins/motionplayer-dll.cpp:14636	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-D11	node tree build 的逐节点 publication、旧树退休和异常回滚	MP-L11-MOTIONNODE-PREPARED-ITEM-LIFETIME	REUSED_EXISTING_FIXTURE	node suffix erase retires source and render-item owners before borrowed facades; prepared render builder retains reverse priority dispatch and trusts indexes	tests/unit-tests/plugins/motionplayer-dll.cpp:14232; tests/unit-tests/plugins/motionplayer-dll.cpp:14412	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-D13	layer-id require/release 的后缀、重复、溢出和无效输入行为	MP-C13-RESOURCE-LAYER-ID-SET	REUSED_EXISTING_FIXTURE	ResourceManager layer ids preserve unsigned suffix-release boundaries; Player layer-id dispatch retains ResourceManager across callbacks	tests/unit-tests/plugins/motionplayer-dll.cpp:25956; tests/unit-tests/plugins/motionplayer-dll.cpp:15552	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-R20	root transform、visible、opacity、flip、slant、zoom 和 coordinate	MP-A11-PLAYER-ROOT-FLAGS	REUSED_EXISTING_FIXTURE	Player completion, mask, and preview properties preserve native scalar boundaries; Player independentLayerInherit public setter dirties without committing	tests/unit-tests/plugins/motionplayer-dll.cpp:31596; tests/unit-tests/plugins/motionplayer-dll.cpp:31666	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-G10	shape、AABB、circle/rect/quad 和 `contains`	MP-B03-GEOMETRY-CONTAINS	REUSED_EXISTING_FIXTURE	geometry facades preserve type-only defaults and initialized shared getters; Geometry contains rejects unordered rect bounds and keeps native quad direction	tests/unit-tests/plugins/motionplayer-dll.cpp:22410; tests/unit-tests/plugins/motionplayer-dll.cpp:22475	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-G13	prepared render item 的构造、优先级、duplicate 和 stencil 关系	MP-G11-PLAYER-APPEND-PREPARED-ITEMS	REUSED_EXISTING_FIXTURE	prepared render builder retains reverse priority dispatch and trusts indexes; prepared render builder retains one particle Array across recursion	tests/unit-tests/plugins/motionplayer-dll.cpp:14412; tests/unit-tests/plugins/motionplayer-dll.cpp:14636	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-G13	prepared render item 的构造、优先级、duplicate 和 stencil 关系	MP-L11-MOTIONNODE-PREPARED-ITEM-LIFETIME	REUSED_EXISTING_FIXTURE	node suffix erase retires source and render-item owners before borrowed facades; prepared render builder retains reverse priority dispatch and trusts indexes	tests/unit-tests/plugins/motionplayer-dll.cpp:14232; tests/unit-tests/plugins/motionplayer-dll.cpp:14412	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-G14	render command list 的生成、排序、target 和 clip	MP-G11-PLAYER-PREPARE-SORT-WRAPPER	REUSED_EXISTING_FIXTURE	prepared render wrapper preserves caller vectors and sorts trusted pointers	tests/unit-tests/plugins/motionplayer-dll.cpp:5948	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-G15	render source 查找、texture key、cache 命中和 materialization	MP-C19-PLAYER-FIND-SOURCE-FOR-NODE	REUSED_EXISTING_FIXTURE	Player findSource dispatch preserves context Variant and receiver; node source fallback gates on exact TJS status and Void result; node source fallback retains one owner across reentrant getters	tests/unit-tests/plugins/motionplayer-dll.cpp:26949; tests/unit-tests/plugins/motionplayer-dll.cpp:26982; tests/unit-tests/plugins/motionplayer-dll.cpp:27026	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-G16	primary layer target 的按需创建和发布	MP-L11-SHARED-LAYER-FACTORY	REUSED_EXISTING_FIXTURE	SourceCache bufLayer is one persistent read-only closure across both class tables; internal workspace dimensions reuse an ncb accessor for hinted double reads	tests/unit-tests/plugins/motionplayer-dll.cpp:16071; tests/unit-tests/plugins/motionplayer-dll.cpp:20424	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-G18	D3D adaptor target、texture map、canvas capture 和清理	MP-A14-D3DADAPTOR-NCB-SURFACE	REUSED_EXISTING_FIXTURE	Motion.D3DAdaptor NCB factory and typed nullsubs preserve exact arity; D3DAdaptor constructor follows the four-reference boundary	tests/unit-tests/plugins/motionplayer-dll.cpp:10185; tests/unit-tests/plugins/motionplayer-dll.cpp:8069	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-G21	canvas submit、post-draw update、retired item 和异常清理	MP-G11-PLAYER-ORDINARY-POST-DRAW	REUSED_EXISTING_FIXTURE	Player Canvas item tail releases nested owners before frame and outer owners after frame	tests/unit-tests/plugins/motionplayer-dll.cpp:17317	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-G23	Web/Cocos 与参考渲染栈之间不可避免的平台边界	MP-G23-WEB-COCOS-REFERENCE-RENDER-PLATFORM-BOUNDARIES	LOCAL_PLATFORM_BOUNDARY_REGRESSION	software texture updates packed atlas sub-rects in place; KRKR D3D source path builds and uploads the production atlas; triangle batch preserves the native asymmetric cache key	tests/unit-tests/plugins/motionplayer-dll.cpp:12588; tests/unit-tests/plugins/motionplayer-dll.cpp:12627; tests/unit-tests/plugins/motionplayer-dll.cpp:7802	Existing local fixtures guard the explicit Web adaptation; they cannot turn the platform boundary into a native-equivalence oracle	Native/reference render comparison remains MP-V05 and the boundary stays explicit
MP-G24	一帧完整调用链与数据产品快照：input state → final draw calls	MP-G24-ONE-FRAME-INPUT-STATE-TO-FINAL-DRAW-PRODUCTS	REQUIRES_TRACE_DIFFERENTIAL			A complete frame product requires coordinated native/ADB/Wasmtime trace streams, not a synthetic unit fixture	Execute and reconcile the existing trace tooling under MP-V04 and MP-V05
